Лексема/стем,Абсолютная частота,Относительная частота
эмоц,320,0.03562680917390336
робот,266,0.02961478512580717
чувств,212,0.023602761077710976
человек,209,0.023268759741705634
эт,158,0.017590737029614785
котор,150,0.016700066800267203
сознан,134,0.014918726341572033
любов,129,0.014362057448229793
фильм,104,0.011578712981518594
люб,102,0.011356045424181697
человеческ,82,0.009129369850812736
люд,77,0.008572700957470496
душ,74,0.008238699621465152
искусствен,64,0.007125361834780673
сво,63,0.0070140280561122245
человечн,59,0.0065686929414384325
так,59,0.0065686929414384325
развит,57,0.006346025384101536
машин,51,0.0056780227120908485
испытыва,48,0.005344021376085505
настоя,47,0.0052326875974170566
сам,47,0.0052326875974170566
разум,46,0.005121353818748608
чувствова,45,0.00501002004008016
прост,44,0.004898686261411712
вызыва,44,0.004898686261411712
созда,38,0.004230683589401024
интеллект,37,0.004119349810732576
главн,35,0.00389668225339568
способн,35,0.00389668225339568
технолог,33,0.003674014696058784
возможн,29,0.003228679581384992
как,29,0.003228679581384992
мир,28,0.0031173458027165444
вопрос,28,0.0031173458027165444
мальчик,28,0.0031173458027165444
жив,26,0.0028946782453796484
андроид,25,0.0027833444667112
перв,25,0.0027833444667112
жизн,25,0.0027833444667112
могут,25,0.0027833444667112
наш,25,0.0027833444667112
друг,24,0.0026720106880427524
все,24,0.0026720106880427524
тем,23,0.002560676909374304
очен,23,0.002560676909374304
зрител,22,0.002449343130705856
репликант,21,0.002338009352037408
одн,21,0.002338009352037408
искрен,21,0.002338009352037408
действительн,20,0.00222667557336896
иде,20,0.00222667557336896
показа,19,0.002115341794700512
просмотр,19,0.002115341794700512
нов,19,0.002115341794700512
компьютер,19,0.002115341794700512
науч,18,0.002004008016032064
геро,18,0.002004008016032064
межд,18,0.002004008016032064
персонаж,18,0.002004008016032064
картин,18,0.002004008016032064
личност,18,0.002004008016032064
актер,18,0.002004008016032064
ребенк,18,0.002004008016032064
нам,17,0.0018926742373636162
способ,17,0.0018926742373636162
любв,17,0.0018926742373636162
дела,16,0.0017813404586951682
мысл,16,0.0017813404586951682
программ,16,0.0017813404586951682
кажд,15,0.0016700066800267202
пыта,15,0.0016700066800267202
имен,15,0.0016700066800267202
сильн,15,0.0016700066800267202
цел,15,0.0016700066800267202
стат,14,0.0015586729013582722
дел,14,0.0015586729013582722
переживан,14,0.0015586729013582722
отношен,14,0.0015586729013582722
проявля,14,0.0015586729013582722
переда,14,0.0015586729013582722
лиш,14,0.0015586729013582722
запрограммирова,14,0.0015586729013582722
воспоминан,13,0.0014473391226898242
явля,13,0.0014473391226898242
желан,13,0.0014473391226898242
прогресс,13,0.0014473391226898242
стал,13,0.0014473391226898242
отлича,13,0.0014473391226898242
поэт,13,0.0014473391226898242
показыва,13,0.0014473391226898242
дэвид,13,0.0014473391226898242
помощ,12,0.0013360053440213762
дума,12,0.0013360053440213762
всем,12,0.0013360053440213762
сказа,12,0.0013360053440213762
нужн,12,0.0013360053440213762
существ,12,0.0013360053440213762
оста,12,0.0013360053440213762
создател,12,0.0013360053440213762
