Лексема/стем,Абсолютная частота,Относительная частота
работ,60,0.024
котор,53,0.0212
робот,53,0.0212
контрол,52,0.0208
работа,43,0.0172
люд,37,0.0148
искусствен,29,0.0116
мир,25,0.01
репликант,23,0.0092
человечеств,22,0.0088
интеллект,21,0.0084
сво,18,0.0072
созда,17,0.0068
человек,17,0.0068
жизн,16,0.0064
будущ,15,0.006
сюжет,15,0.006
эт,14,0.0056
создан,14,0.0056
компан,14,0.0056
технолог,12,0.0048
корпорац,12,0.0048
друг,12,0.0048
уилл,12,0.0048
главн,11,0.0044
гер,11,0.0044
кастер,11,0.0044
машин,11,0.0044
сам,10,0.004
смерт,10,0.004
учен,10,0.004
компьютерн,10,0.004
войн,9,0.0036
опасн,9,0.0036
андроид,8,0.0032
одн,8,0.0032
нов,8,0.0032
компьютер,8,0.0032
выход,8,0.0032
программ,8,0.0032
тяжел,7,0.0028
восстан,7,0.0028
либ,7,0.0028
фильм,7,0.0028
убийств,7,0.0028
земл,7,0.0028
уничтож,7,0.0028
управля,7,0.0028
мастер,7,0.0028
людьм,6,0.0024
раб,6,0.0024
прост,6,0.0024
грязн,6,0.0024
тем,6,0.0024
реальност,6,0.0024
разум,6,0.0024
выда,6,0.0024
виртуальн,6,0.0024
кажд,6,0.0024
флин,6,0.0024
выполня,5,0.002
вообщ,5,0.002
положен,5,0.002
вся,5,0.002
имен,5,0.002
полиц,5,0.002
явля,5,0.002
поиск,5,0.002
так,5,0.002
эвелин,5,0.002
станов,5,0.002
захват,5,0.002
декард,5,0.002
игр,5,0.002
страхов,5,0.002
пмк,5,0.002
вид,4,0.0016
операторск,4,0.0016
использ,4,0.0016
проституц,4,0.0016
атмосфер,4,0.0016
выполнен,4,0.0016
уничтожен,4,0.0016
вышедш,4,0.0016
занима,4,0.0016
хот,4,0.0016
област,4,0.0016
хочет,4,0.0016
знан,4,0.0016
способ,4,0.0016
всем,4,0.0016
планет,4,0.0016
тотальн,4,0.0016
попада,4,0.0016
власт,4,0.0016
молод,4,0.0016
персонаж,4,0.0016
част,4,0.0016
изобретен,4,0.0016
высок,4,0.0016
