Год,Оптимистические высказывания,Скептические высказывания,Всего уверенных высказываний,Доля оптимистических,Доля скептических
2005,2,0,2,1.0,0.0
2007,4,0,4,1.0,0.0
2008,20,0,20,1.0,0.0
2009,27,6,33,0.8181818181818182,0.18181818181818182
2010,44,9,53,0.8301886792452831,0.16981132075471697
2011,39,11,50,0.78,0.22
2012,45,7,52,0.8653846153846154,0.1346153846153846
2013,27,1,28,0.9642857142857143,0.03571428571428571
2014,133,40,173,0.7687861271676301,0.23121387283236994
2015,116,16,132,0.8787878787878788,0.12121212121212122
2016,40,11,51,0.7843137254901961,0.21568627450980393
2017,109,24,133,0.8195488721804511,0.18045112781954886
2018,26,13,39,0.6666666666666666,0.3333333333333333
2019,36,6,42,0.8571428571428571,0.14285714285714285
2020,40,17,57,0.7017543859649122,0.2982456140350877
2021,9,3,12,0.75,0.25
2022,21,6,27,0.7777777777777778,0.2222222222222222
2023,22,9,31,0.7096774193548387,0.2903225806451613
2024,13,1,14,0.9285714285714286,0.07142857142857142
2025,7,8,15,0.4666666666666667,0.5333333333333333
2026,0,1,1,0.0,1.0
